Genres,revenue
Drama,6.417721237
Drama,5.883006377
Comedy,6.49846632
Drama,8.330444394
Comedy,8.393180867
Comedy,6.862989753
Thriller,6.835155775
Comedy,6.769927748
Drama,6.484176653
Comedy,7.568201724
Adventure,8.205850676
Drama,8.049242436
Comedy,7.258581281
Drama,8.028098546
Drama,6.342644904
Thriller,7.655954123
Thriller,8.330269178
Drama,6.620857405
Drama,7.05310354
Animation,6.989968259
Action,8.231374214
Action,8.293511188
Drama,7.452422357
ScienceFiction,8.079181246
Comedy,5.88046659
Drama,7.179541422
Comedy,8.030265255
Drama,7.05001879
Action,8.334227934
Drama,8.070463492
Drama,6.003280831
Comedy,8.831194718
Comedy,8.406030364
Comedy,6.249692316
Action,7.792022151
Comedy,7.708697859
Drama,7.302760464
Action,8.544623766
Thriller,8.007092775
Action,8.578504444
Drama,7.699160696
Drama,7.398842403
Comedy,2.979092901
Action,7.468235315
Action,7.997489139
Action,7.565847819
Comedy,7.322457058
Action,7.182997363
Action,8.076309005
Drama,7.479373763
Comedy,6.563772772
Comedy,6.866607772
Drama,7.29504013
Drama,1.477121255
Comedy,7.460616226
Comedy,6.948447444
Adventure,7.199398163
Action,7.18582536
Comedy,7.058395387
Comedy,7.386183591
Comedy,6.89324496
Adventure,7.681814806
Action,6.885927074
Action,7.216928218
Comedy,6.203219789
Comedy,6.48024114
Drama,4.815258883
Action,7.659063976
Drama,6.523445347
Drama,2.600972896
Animation,7.05589417
Action,6.23106008
Drama,6.502519159
Action,7.221974807
Drama,7.329517736
Adventure,5.39966161
Comedy,7.216251908
Comedy,6.638566525
Drama,5.095842074
Drama,5.091698605
Comedy,5.790241521
Action,6.153128289
Action,6.761771224
Action,6.092748708
Comedy,5.207930438
Comedy,6.86991543
Action,7.69019608
Comedy,5.101221067
Adventure,5.484399502
Comedy,6.087011495
Action,6.280519869
Comedy,7.486092859
Comedy,6.903596134
Action,6.369458735
Comedy,7.118792868
Comedy,6.35422795
Drama,7.42975228
Drama,6.577163197
Action,5.651068572
ScienceFiction,4.695490432
Animation,8.57235343
Adventure,8.419620815
Comedy,7.910902584
Comedy,7.884109186
Action,8.272854903
Action,7.808549705
Adventure,8.546781995
Comedy,8.032938909
Action,7.000751634
Drama,8.064878508
Drama,8.130333768
Action,7.549384795
Comedy,8.061081444
Action,7.481486658
Drama,7.697229343
Comedy,7.437750563
Drama,8.255272505
ScienceFiction,8.227475343
Drama,7.595095196
Drama,5.83028385
Action,8.087056705
Drama,7.372435674
Adventure,8.539176217
Drama,7.368130027
Comedy,6.826074803
Comedy,7.243513502
Comedy,7.450494185
Action,7.061997907
Comedy,5.856420728
Drama,5.724084082
Comedy,7.29666519
Drama,8.260111038
Action,8.322219295
Comedy,6.797830927
Action,6.993507211
Comedy,5.322084849
Action,8.150470982
Drama,8.550519334
Adventure,7.499644627
Action,8.527022681
Comedy,6.105510185
Action,5.250673673
Action,8.18190673
Action,8.196969395
Thriller,7.404926806
Drama,7.207925648
Action,8.563601705
Action,8.105852155
Action,6.878735903
Adventure,7.280480939
ScienceFiction,8.054970917
Comedy,7.230823096
Drama,6.869948067
Drama,6.060226281
Drama,7.189020505
Action,7.819543936
Thriller,0
Comedy,7.84298804
Comedy,5.674282308
Drama,7.01629805
Drama,7.308580505
Comedy,6.921656828
Comedy,7.706650884
ScienceFiction,8.054513864
Thriller,6.761927838
Drama,6.846676991
Drama,5.53133711
Comedy,7.67919336
Action,8.018384576
Drama,7.699078625
Adventure,8.421962762
Drama,6.743149402
Comedy,7.423061202
Comedy,7.370142847
Drama,7.086404504
Drama,6.601278536
Comedy,7.420372603
Comedy,7.247707628
Drama,6.393399695
Drama,6.881028743
Comedy,0.698970004
Action,8.27843247
Comedy,6.4522199
Drama,6.834708336
Action,7.268401504
Drama,7.093421685
Action,6.609006594
Comedy,7.513865534
Action,7.381078963
Comedy,8.26020742
Comedy,5.646369413
Comedy,5.339701809
Drama,4.798988835
Action,6.35940173
Action,6.640232615
Thriller,0.77815125
Drama,5.484089049
Action,5.590510807
Comedy,8
Action,6.70703396
Animation,6.600309737
Action,1.919078092
Drama,7.146128036
Action,1.113943352
Action,5.698970004
Action,7.176091259
Action,6.381877361
Drama,7.279454558
Comedy,6.310168444
Action,7.012837225
Comedy,1.505149978
Drama,7.092699666
Action,8.176872711
Comedy,5.748241535
Comedy,7.614950962
Action,7.535640797
Comedy,7.167389357
Comedy,8.267782956
Action,8.086250232
Comedy,7.98913622
Adventure,7.514672883
Comedy,6.693721586
Comedy,4.815145895
Drama,8.003722486
Adventure,8.660577458
Adventure,7.46121727
Comedy,6.990778256
Action,5.835278906
Animation,8.398287305
Comedy,7.003029471
Action,7.758916031
Adventure,7.302764141
Drama,7.393916644
Drama,0.698970004
Action,6.479143248
Action,8.525125981
Action,8.694141286
Action,6.579053139
Action,7.147625999
Adventure,7.23806842
Drama,8.054267255
Comedy,7.768053023
Drama,6.258706707
Drama,7.217249098
Action,8.91220572
Drama,7.270129368
Drama,8.000602604
Comedy,8.01210208
Comedy,7.398346908
Action,8.384345459
Action,8.201977077
Drama,7.122869712
Drama,8.181947526
Comedy,6.97692647
Drama,5.823115429
Action,7.235357498
Comedy,8.06595298
Action,8.490650383
Comedy,7.328422847
Action,5.412062192
Action,7.779663823
Comedy,7.524518357
Drama,7.346971853
Action,7.25327225
Comedy,7.101876793
Action,7.626107911
Drama,6.478738881
Comedy,7.731222708
Drama,5.634805638
Action,7.354338093
Action,7.7135114
Drama,7.227886705
Drama,6.931372326
Action,7.674558048
Drama,7.618998172
Comedy,4.69565676
Drama,7.240052921
Action,7.360879132
Drama,7.127664871
Comedy,7.538893004
Drama,6.616753227
Drama,6.29776073
Comedy,6.176091259
Adventure,7.875061263
Drama,6.758238214
Drama,5.607455023
Drama,8.168199094
Comedy,6.65378367
Action,3.281033367
Drama,7.307504274
Drama,8.365443851
Drama,6.580160355
ScienceFiction,8.176091259
Drama,7.388174425
Comedy,6.398604665
Comedy,8.506084462
Comedy,8.005913804
Drama,5.18513118
Comedy,8.437040834
Drama,7.107322091
Comedy,8.078160189
Drama,6.567360021
Action,7.340262526
Comedy,5.817398098
Drama,6.613746182
Comedy,4.643452676
Drama,5.347445161
Drama,4.882991026
Drama,5.700299514
Comedy,6.2079751
Comedy,4.575164744
Action,5.741373025
Drama,6.481169353
Drama,5.46844186
Action,6.333354561
Action,6.071514542
Action,7.411698932
Comedy,6.972261173
Action,7.059415271
Action,7.504981154
Action,8.250731607
Drama,5.770339389
Action,6.65608315
Drama,7.469548516
Comedy,7.561105679
Drama,6.565281096
Drama,7.11827627
Comedy,7.302332033
Drama,5.726445193
Comedy,7.615221751
Thriller,8.072114933
Comedy,8.48102765
Drama,7.77815125
Animation,6.552258911
Action,6.859788771
Action,7.254783383
Drama,5.898631952
Drama,6.772771028
Adventure,8.136358294
Action,7.448464485
Comedy,7.465908342
ScienceFiction,7.830485946
Drama,7.700350116
Adventure,8.421472599
ScienceFiction,4.437020843
Comedy,6.878125522
Drama,6.462397998
Adventure,5.680425264
Comedy,7.53999261
Adventure,8.359976793
Action,8.350271737
Action,8.216187197
Action,8.376954742
Animation,8.402626038
Comedy,8.476090182
Action,8.390362991
Action,8.77040316
Adventure,6.921429255
Drama,8.233301607
Action,7.682769037
Action,7.651880441
Action,7.943692535
Comedy,7.364447784
Comedy,7.646717472
Action,8.136666147
ScienceFiction,6.226968062
Action,8.498526143
Drama,6.757098298
Action,7.636611186
Adventure,8.11878597
Drama,7.781955413
Drama,8.039111189
Action,7.204119983
Thriller,6.824912841
Drama,4.003546693
Drama,6.905151298
Comedy,7.079950424
Comedy,7.144891734
Comedy,8.411367341
Drama,8.184534318
Drama,6.602059991
Comedy,5.796613876
Drama,0
Thriller,7.098047312
Action,6.811722092
Action,6.762712166
Comedy,8.400041539
Action,7.022903361
Drama,6.42209437
Drama,7.661971321
Drama,7.634493332
Adventure,8.083554134
